step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
105.0,57,1520.0,6.495726495726496,6.6686051610551145,3,39.0,0.40772815427410225,0,72.0,0.6528863992472921,7,273.0,0.5076426212763098,0,0.0,0.9870215771818135,1,20.0,0.3197350659959075,1,28.0,0.7347301432680933,19,615.0,0.0,0,0.0,0.9127813312534606,0,10.0,0.582914014821158,0,0.0,0.7646722727223698,2,66.0,0.38723240400869047,2,305.0,0.5270322540432583,0,8.0,0.7667030025525876,0,4.0,0.8152789097492272,22,655.0,0.11518845339947191,0,21.0,0.35782732342596874,57,2116.0
110.0,86,1876.0,7.688524590163935,5.884480172245874,9,70.0,0.35784906051562027,1,4.0,0.6047218579944228,9,311.0,0.21390301926766295,1,1.0,0.006722064695575895,5,25.0,0.3913715745539871,3,36.0,0.4668493996833821,19,710.0,0.09284536964105991,0,0.0,0.18604270107813753,0,4.0,0.8759501583277096,2,4.0,0.4179691729237265,3,56.0,0.5120620127871659,7,331.0,0.3314327378008518,2,12.0,0.49589515379537336,0,4.0,0.8387553396705615,25,779.0,0.07492913479748071,0,0.0,0.9080655770997981,86,2347.0
115.0,114,2338.0,9.277777777777779,5.484910320161601,6,75.0,0.4237941844856305,1,5.0,0.45604066315650216,10,361.0,0.0,0,0.0,0.6965669645825825,7,51.0,0.40280938221020507,8,65.0,0.3266621729193117,19,805.0,0.22175300222965588,5,22.0,0.09239995190129563,0,4.0,0.8306478645341598,4,21.0,0.42035326758625113,8,83.0,0.4222031228258424,13,386.0,0.03416616786351753,7,35.0,0.44625109556355047,0,0.0,0.6613632318469025,26,907.0,0.10922582991872509,0,0.0,0.927346799336325,114,2820.0
120.0,102,1950.0,7.738095238095238,4.971499207776233,3,38.0,0.45757082501851254,4,23.0,0.6195292276268795,10,411.0,0.2196168740550267,0,0.0,0.8638808570263737,4,57.0,0.2260135791543858,9,110.0,0.27376294108797544,14,746.0,0.19164057202363544,0,26.0,0.36727811405678285,1,4.0,0.6901893827291391,0,19.0,0.5627207981708853,8,84.0,0.16724266047644679,17,473.0,0.2146641970533749,8,71.0,0.30921579345868894,0,2.0,0.4314393372851867,22,901.0,0.1094229970770502,2,4.0,0.2871468603541957,102,2969.0
125.0,75,989.0,3.8333333333333335,5.863860382249777,1,23.0,0.4623636943759118,0,16.0,0.7253999562255544,4,299.0,0.358011229024946,0,4.0,0.6561704289753019,6,38.0,0.39037717940649597,9,155.0,0.3930068232531171,6,518.0,0.18810189085519066,0,6.0,0.8562430917221102,1,8.0,0.4049897223096406,0,0.0,0.894022966719716,6,69.0,0.2900357181359233,17,558.0,0.3683844975349217,3,70.0,0.15877669551707357,0,6.0,0.8039725819996091,15,758.0,0.11138728839665013,7,30.0,0.39263693402394784,75,2558.0
130.0,68,720.0,2.7169811320754715,6.161353964917139,6,40.0,0.45243771112382947,2,8.0,0.5946824257260428,0,79.0,0.650789446209294,4,11.0,0.42589639875539514,2,34.0,0.35428104788386805,9,204.0,0.29542476810749974,2,523.0,0.14480680402640714,0,2.0,0.919278525290157,4,21.0,0.671276064937757,1,2.0,0.7293413652691106,3,66.0,0.45196741582019334,18,642.0,0.13565377230437717,4,41.0,0.48416636248393785,0,8.0,0.9000498990424696,12,818.0,0.14837730057108192,1,37.0,0.6660467494757953,68,2536.0
135.0,93,972.0,3.640449438202247,5.521548741372786,9,83.0,0.3220121021628274,2,6.0,0.35245145250629306,1,41.0,0.26129106610317404,7,42.0,0.5246026026630636,5,27.0,0.4406172498090494,13,259.0,0.22836780198086198,9,511.0,0.08580985941893196,1,4.0,0.3463370578297608,4,41.0,0.6492084451491912,1,1.0,0.6386576556568012,8,64.0,0.4633955208617026,23,751.0,0.035532185813299914,1,29.0,0.6469030567780305,0,4.0,0.8321069737339261,9,866.0,0.2195916682353786,0,10.0,0.5575270780936921,93,2739.0
140.0,105,1287.0,4.612903225806452,5.482213421160709,5,87.0,0.38697822730146664,5,28.0,0.4162490239802947,2,51.0,0.6553441047834152,1,46.0,0.504283391970169,1,29.0,0.502573822812374,17,341.0,0.30681093446985436,13,568.0,0.2185182252064778,0,10.0,0.2751191235272529,5,63.0,0.30381165155825085,2,7.0,0.5902587651135599,12,115.0,0.37314377282921773,24,871.0,0.169010477248896,1,18.0,0.7545076605864487,2,7.0,0.39446947174063823,9,791.0,0.2943792773056512,6,30.0,0.3810571370727273,105,3062.0
145.0,107,1601.0,5.5979020979020975,5.754809815243519,2,47.0,0.49486518448278133,5,53.0,0.5746760144857894,0,2.0,0.863037521937961,8,41.0,0.41288908116934814,0,5.0,0.5527129218593329,17,422.0,0.36710946028260527,13,633.0,0.22288079857440715,0,4.0,0.8132440036885503,10,105.0,0.2592328369116729,0,1.0,0.6405316522210457,7,127.0,0.23360467109465824,24,993.0,0.2188831474534883,1,23.0,0.6771320765700999,7,35.0,0.05334936326763535,7,597.0,0.24427216581285166,6,60.0,0.42558033645004434,107,3148.0
150.0,102,1887.0,6.552083333333333,5.402384673630283,1,37.0,0.42239725368665276,5,78.0,0.5757069672593874,2,5.0,0.5357953767639602,8,73.0,0.3657522370340041,2,18.0,0.5283261857457876,18,508.0,0.30178443594571863,7,541.0,0.09051169347352139,0,6.0,0.8151351619315587,11,159.0,0.20552982212799797,0,0.0,0.9036071312161291,4,80.0,0.2542036746813188,24,1111.0,0.24180484963509663,0,0.0,0.6386509796992352,7,74.0,0.4010650419794159,7,579.0,0.1554823388311395,6,90.0,0.49547870663927207,102,3359.0
